"sum","season","state_id","election_id","candidate_name"
"656","Winter     ","Kerala",2984,"NARAYANA KUMAR"
"656","Winter     ","Kerala",2948,"SUBRAN K R"
"655","Summer     ","Kerala",3104,"DIVAKARAN PALLATH"
"655","Summer     ","Kerala",2986,"RAJMOHAN UNNITHAN"
"919","Autumn     ","Kerala",3019,"ROBY MATTAPPALLY"
"919","Autumn     ","Kerala",2959,"SANDEEP RAJENDRAPRASAD"
"656","Winter     ","Kerala",2994,"N KESHAVA NAYAK"
"656","Winter     ","Kerala",2999,"VIPINLAL VIDHYADHARAN"
"656","Winter     ","Kerala",2970,"SAJI @ SHAJI"
"654","Autumn     ","Kerala",2933,"NOTA"
"921","Winter     ","Kerala",2950,"ARUN EDATHADAN"
"654","Autumn     ","Kerala",2991,"MANOHARAN K"
"656","Winter     ","Kerala",2983,"C. BALAKRISHNAN YADAV"
"656","Winter     ","Kerala",2943,"PROF C RAVEENDRANATH"
"919","Autumn     ","Kerala",3002,"PRADEEP KOTTARAKKARA"
"654","Autumn     ","Kerala",3128,"P RADHAKRISHNAN"
"654","Autumn     ","Kerala",2922,"ADV.K.M SHAJAHAN"
"655","Summer     ","Kerala",3001,"GOKULAM SURESH KUMAR"
"919","Autumn     ","Kerala",2969,"JOMON JOHN"
"740","Rabi       ","Goa",1471,"MILAN R VAINGANKAR"
"656","Winter     ","Kerala",3030,"T. RAGHAVAN S/O VELLANKUTTY"
"581","Kharif     ","Goa",1472,"MR SAKHARAM NAIK"
"919","Autumn     ","Kerala",2985,"NOTA"
"921","Winter     ","Kerala",2957,"ADV. ANTONY JUDY"
"919","Autumn     ","Kerala",3111,"PRAPHUL KRISHNAN"
"655","Summer     ","Kerala",2952,"JOHNSON K C"
"920","Summer     ","Kerala",3077,"DR. M.P ABDUSSAMAD SAMADANI"
"655","Summer     ","Kerala",3004,"JOSE SARANATH"
"654","Autumn     ","Kerala",2929,"RAMYA HARIDAS"
"919","Autumn     ","Kerala",3023,"NOTA"
